name,discipline,address,city,area,phone,email,website,rating,reviews_count,source,scraped_at
Amateur Karate Club - Musaffah Shabia 9,"Karate, Judo, Taekwondo, Martial Arts",14 شارع مُساري - Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97125620011,info@akc.com,http://www.akckarateclub.com/,4.7,10,google_maps,2026-03-13T01:07:45.493944+00:00
Amateur karate Club Shabia 12,"Boxing, Karate, Taekwondo, Martial Arts",Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97125589237,info@akc.com,http://www.akckarateclub.com/,4.9,29,google_maps,2026-03-12T22:40:00.946647+00:00
Asia Karate,"Karate, Taekwondo, Martial Arts",20029 - 41 Al Mireejib St - Al Khalidiyah - W8 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 52 598 0065,info@themezinho.net; plessymolpaulose@gmail.com; nkcuae@gmail.com,http://www.nipponkarateuae.com/,5.0,7,google_maps,2026-03-13T01:09:13.818644+00:00
Atlanta karate club Abu Dhabi,"Karate, Taekwondo, Martial Arts",navigator - Alzahiya - E16 02 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 297 1263,,,5.0,30,google_maps,2026-03-13T01:04:04.587828+00:00
BARBELL GYM,"Kickboxing, Boxing","Hamdan St - Behind Al Ahalia Hospital,1 st Floor - 101 1st St - Abu Dhabi - United Arab Emirates",Abu Dhabi,Abu Dhabi,+971 58 978 6244,,,4.7,242,google_maps,2026-03-12T21:12:53.387608+00:00
BLITZ Khalidiyah Mall | Best HIIT Workout in Abu Dhabi,Boxing,Within GymNation - Al Khalidiyah - W9 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 387 9662,sophie@gymnation.com; aldrin@gymnation.com; dhaivat@gymnation.com,https://gymnation.com/hiitworkout/,4.7,76,google_maps,2026-03-12T22:38:56.693223+00:00
BSports - Taekwondo and Gymnastics Club,"Karate, Judo, Taekwondo, Martial Arts","Baynunah Tower - 2, M floor - M02 Corniche Road - Al Hisn - Al Markaziyah West - Abu Dhabi - United Arab Emirates",Abu Dhabi,Abu Dhabi,+97126268122,info@baroudysportsclub.com,http://baroudysportsclub.com/,4.7,43,google_maps,2026-03-13T01:07:57.609858+00:00
Be fit gym,Boxing,09 شارع سريحه - Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 55 231 3577,,,4.6,173,google_maps,2026-03-12T22:38:24.865418+00:00
"Body Factory Gym & EMS Studio Abu Dhabi,",Kickboxing,Unnamed Road - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97124916785,,https://www.facebook.com/BodyFactoryGymUAE/,4.3,199,google_maps,2026-03-12T21:13:53.096573+00:00
Body and Mind GYM صاله رياضيه,"Kickboxing, Boxing, Karate",Bin Hamoodah Tower - 1st Floor Sheikh Khalifa Bin Zayed St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 56 838 9191,bmfitness2020@gmail.com,https://www.bmfitness.ae/,4.9,176,google_maps,2026-03-12T21:12:48.528767+00:00
BodyFit GYM,"Kickboxing, Boxing",شارع ١١ - Khalifa City - SE4 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 56 141 4133,,https://instagram.com/bodyfitclubae?igshid=YmMyMTA2M2Y=,4.6,565,google_maps,2026-03-12T21:12:32.276300+00:00
Boxa Gym & fitness,Boxing,"C230 - Al Daraj St - next to Aster Pharmacy, Jalaliya Baqala - Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates",Abu Dhabi,Abu Dhabi,+97126752756,,http://www.boxagym.com/,4.9,167,google_maps,2026-03-12T22:38:05.118923+00:00
Bushido Martial Arts and Fitness,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts","M2, Mezzanine Floor, Same Building of Al Habtoor Motors or Mitsubishi Al Najda Street - Abu Dhabi - United Arab Emirates",Abu Dhabi,Abu Dhabi,+971 52 985 2265,info@bushidoskif.com,https://www.bushidoskif.com/,4.8,22,google_maps,2026-03-12T13:01:06.734656+00:00
CREED MARTIAL ARTS,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts",ADCP Tower - building number 21 - D 705 7th floor - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 855 6404,,,4.9,85,google_maps,2026-03-12T13:01:08.331311+00:00
California Gym Abu dhabi,"Kickboxing, Boxing",F9F2+J2G - Al Hisn - W4 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 56 246 2561,,,4.2,117,google_maps,2026-03-12T21:13:37.557041+00:00
Challenge Sports Club,Boxing,Sheikh Hamdan Bin Mohammed Street (Hamdan Street) - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 56 195 6123,,,4.9,449,google_maps,2026-03-12T22:38:31.398654+00:00
Delariva Jiu Jitsu Al Raha,"BJJ, MMA, Kickboxing, Karate, Taekwondo, Martial Arts",FJ27+XM8 - Shop B1 - Ar Rahah St - Al Rahah - RBW2 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 417 7300,info@delarivaraha.com; delariva.ae@gmail.com,https://delarivabjj.com/,4.8,111,google_maps,2026-03-12T13:00:47.459338+00:00
Delariva Jiu Jitsu Al Reem,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Wrestling, Karate, Judo, Taekwondo, Martial Arts",Ar Reem St - Al Reem Island - Tamouh - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 709 7276,info@delarivaraha.com; delariva.ae@gmail.com,https://delarivabjj.com/,4.9,153,google_maps,2026-03-12T13:00:45.843686+00:00
EUPHORIA DANCE AND FITNESS STUDIO,"Karate, Taekwondo, Martial Arts",M1 - 102 Electra St - opp. nmc hospital - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 54 557 0622,,,4.8,66,google_maps,2026-03-13T01:09:48.318409+00:00
Eight Pack Fitness World (Best Gym in Mussafah-Abu Dhabi),"Kickboxing, Boxing",Musaffah - M36 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 52 457 6723,,,4.0,118,google_maps,2026-03-12T21:11:57.456437+00:00
Elite Martial Arts UAE,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts",behind shining tower C70 - Al Khalidiyah - W9 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 55 727 9551,info@elitemartialarts.com; info@elitemartialarts.ae,http://elitemartialarts.ae/,5.0,58,google_maps,2026-03-12T13:01:33.986460+00:00
Emirates Aikido Center,"Karate, Judo, Taekwondo",CF85+J65 - Al Rawdah - W57 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 662 9533,,https://m.facebook.com/emiratesaikidocentre/,3.7,3,google_maps,2026-03-13T01:09:39.910609+00:00
Emirates Bando,"BJJ, MMA, Kickboxing, Karate, Judo, Taekwondo, Martial Arts",Sheikh Zayed Cricket Stadium - Khalifa City - SW17 01 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 203 9485,info@emiratesbando.com,https://emiratesbando.com/,5.0,27,google_maps,2026-03-12T13:01:29.123719+00:00
Emirates Karate And Kickboxing,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts",Hamdan Bin Mohammed St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 54 516 1286,,,5.0,156,google_maps,2026-03-12T13:01:16.331786+00:00
Emirates Karate Khalidiya Branch,"Kickboxing, Boxing, Karate, Taekwondo, Martial Arts",Khalidiya Park - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 235 7103,emirateskarateuae@gmail.com,http://www.emirateskarate.com/,5.0,69,google_maps,2026-03-12T21:13:01.497958+00:00
Emirates Sports Centre Karate,"Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts",F9XF+HJ - Al Zahiyah - E13 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 54 349 4002,,,4.9,84,google_maps,2026-03-12T21:12:20.343058+00:00
Empower karate and kickboxing club,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts","building 02 floor,office 201 - Hamdan Bin Mohammed St - opp. hamdan center,Metro manila supermarket - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates",Abu Dhabi,Abu Dhabi,+971 56 443 8028,,,5.0,82,google_maps,2026-03-12T13:01:39.010269+00:00
Excellent Karate Club.,"Kickboxing, Karate, Judo, Taekwondo, Martial Arts",Hadbat Al Za`Faranah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 542 5239,,,4.8,63,google_maps,2026-03-12T21:13:15.415145+00:00
Exclusive Trainers,"Kickboxing, Boxing",Al Jazira Sports and Cultural Club - Office 119Emirates - West Wing LLJ SPACES - Al Nahyan - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 58 599 3823,exclusivetrainersuae@gmail.com,https://www.exclusivetrainersuae.com/,5.0,143,google_maps,2026-03-12T21:13:59.906385+00:00
FAB Jiu-Jitsu Academy,"BJJ, MMA, Judo, Taekwondo, Martial Arts",Zayed Sports City - Al Rawdah - W57 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97123336111,,,4.9,15,google_maps,2026-03-12T13:00:55.525266+00:00
FIT. | Yas Mall,"Kickboxing, Boxing",Yas Mall - near Waitrose - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 56 995 5874,,https://getfit.ae/,4.7,372,google_maps,2026-03-12T21:13:58.130879+00:00
Fire Fit Marina Square,"Kickboxing, Boxing",Muroor Road - near Alam Super Market - Al Sa`Adah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 58 101 3366,,http://www.happyandrubygroup.com/,3.4,88,google_maps,2026-03-12T21:13:30.421665+00:00
Fit & Flex Studios Amwaj1,"Kickboxing, Boxing, Taekwondo","Amwaj 1 Apartments, Raha Beach, Khalifa City A - Abu Dhabi - United Arab Emirates",Abu Dhabi,Abu Dhabi,+971 58 500 6577,,http://www.fitnflex.com/,4.5,33,google_maps,2026-03-12T21:13:56.372731+00:00
Fitfight uae,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts","Madinat zayed area, al falah street building+45+ 44, apartment 101 - Abu Dhabi - United Arab Emirates",Abu Dhabi,Abu Dhabi,+971 55 630 3263,,http://www.fitfight.ae/,4.6,18,google_maps,2026-03-12T13:01:37.316873+00:00
Fitness GT24/7 Personal Trainers,"Boxing, Taekwondo",45 - 41 Al Qayhawan St - Al Mushrif - W46 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 58 599 4694,,https://www.fitgt247.com/,5.0,5,google_maps,2026-03-12T22:40:41.476760+00:00
Fitness Plus Gym,Boxing,302 Sheikh Zayed Bin Sultan St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 175 7613,,http://www.facebook.com/Fitness-Plus-Gym-1563550730554788/?ref=bookmarks,4.6,50,google_maps,2026-03-12T22:40:04.401084+00:00
Flex Fitness - Electra Branch,"Kickboxing, Karate",Al Otaiba Tower - 850 Zayed The First St - near LLH Signal Between Shein Outlet and KM Trading - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97126435533,,https://flexfitness.ae/,4.9,117,google_maps,2026-03-12T21:12:07.325101+00:00
Fly Fit Fitness Center,Kickboxing,10 18th St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 55 441 5335,,,4.9,206,google_maps,2026-03-12T21:12:28.941719+00:00
Frolic Fitness Ladies ONLY GYM Abu Dhabi,"Kickboxing, Boxing",EMI Tower - M2 Airport Rd - next to Marks & Spencer Building - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 108 8912,info@frolicfitness.ae,https://frolicfitness.ae/,4.9,627,google_maps,2026-03-12T21:12:58.214024+00:00
GREATEST KARATE & MMA CLUB,"Karate, Taekwondo, Martial Arts",Mohamed Bin Zayed City - Mussafah Community - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97122340714,,,5.0,19,google_maps,2026-03-13T01:07:18.906363+00:00
GRITFORCE 8,Boxing,Galleria mall - Al Manhal - W15 01 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97125580045,info@gritforce8.com,https://gritforce8.com/,5.0,18,google_maps,2026-03-12T22:40:33.460505+00:00
GTigers Martial Arts & Fitness,"BJJ, Kickboxing, Boxing, Karate, Taekwondo",8GVJ+FQV - ʹIrq Al Matlaʹiyat St - Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 56 491 6766,info@mail.gtigers.com,https://gtigers.com/,4.9,24,google_maps,2026-03-12T13:02:03.372051+00:00
Golden Fist Karate (Shabia 9),"BJJ, Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts",Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 387 4300,,,4.8,21,google_maps,2026-03-12T13:02:08.318714+00:00
GymNation Mushrif Mall | Best Gym in Abu Dhabi,Boxing,Sheikh Rashid Bin Saeed St - Hadbat Al Za`Faranah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97133614802,sophie@gymnation.com; aldrin@gymnation.com; dhaivat@gymnation.com,https://gymnation.com/ar/gymsnearme/mushrif-mall/,4.7,4213,google_maps,2026-03-12T22:38:50.143615+00:00
Her Fight Club Muay Thai,"MMA, Muay Thai, Kickboxing, Boxing, Taekwondo, Martial Arts",Al Rahah - Al Muneera - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97124495135,info@herfight.club,http://herfight.club/,4.6,19,google_maps,2026-03-12T13:58:43.941433+00:00
IRON FIST KARATE CENTER,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts",Al Zahiyah - E13 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 54 384 7735,,,4.7,22,google_maps,2026-03-12T13:01:48.892697+00:00
IRON FIST KARATE CENTER AND FITNESS,"BJJ, MMA, Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts",Al Falah St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 54 760 0552,,,4.3,7,google_maps,2026-03-12T13:02:11.669541+00:00
IRON FIST SPORT CLUB & GYM,"BJJ, MMA, Kickboxing, Boxing, Karate, Judo, Martial Arts",F9W9+PP2 - Hamdan street al mariah cinema ziyani area near Russian embassy - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 52 453 5498,,http://www.realfit.ae/,4.4,10,google_maps,2026-03-12T13:01:52.168388+00:00
Impact Karate Centre Al Reef Branch,"MMA, Kickboxing, Boxing, Karate, Taekwondo",Villas Down Town - Al Reef - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 55 340 6956,,http://www.impactkarate.ae/,4.9,207,google_maps,2026-03-12T13:58:23.074090+00:00
Impact karate centre Tourist club area,"Kickboxing, Boxing, Karate, Taekwondo, Martial Arts",Zayed The First St - Al Zahiyah - E16 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 240 9870,,https://impactkarate.ae/,4.9,87,google_maps,2026-03-12T21:12:43.703061+00:00
Impact karate centre corniche branch 5,"Karate, Taekwondo, Martial Arts",Al Danah - E5 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 55 340 6956,,https://www.impactkarate.ae/,5.0,8,google_maps,2026-03-13T01:08:03.632552+00:00
Impact karate centre me-10,Taekwondo,5 Wad'ah St - 10th St - Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 55 340 6956,,http://www.impactkarate.ae/,5.0,105,google_maps,2026-03-13T04:03:40.241819+00:00
Insta gym,"Kickboxing, Boxing",backside big mart - Sheikh Zayed Bin Sultan St - Al Zahiyah - E15 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 54 777 9566,,,4.8,32,google_maps,2026-03-12T21:13:23.517959+00:00
International Karate Kubudo Club (ikkc),"Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts",Al Zahiyah - E16 02 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 56 815 5620,ikkcclub@gmail.com,http://www.ikkclub.com/,4.9,64,google_maps,2026-03-12T21:12:25.360232+00:00
JD Taekwondo UAE by JD Sports Management,"BJJ, Karate, Judo, Taekwondo, Martial Arts","Building No. 11, M1 (Office 1 - Khor Al Mamzar St - Al Nahyan - E19 02 - Abu Dhabi - United Arab Emirates",Abu Dhabi,Abu Dhabi,+971 50 430 3116,taekwondo23_1@yahoo.fr,http://sangrokuae.pro/,5.0,22,google_maps,2026-03-12T13:02:01.777892+00:00
Jiu Jitsu - Self-Defense - Gracie Barra Al Saadah - Abu Dhabi,"BJJ, Taekwondo, Martial Arts","Mezzanine 102, Danet Tower B - Juma Bin Kasla Al Rumaithi St - Al Sa`Adah - Zone 1 - Abu Dhabi - United Arab Emirates",Abu Dhabi,Abu Dhabi,+971 50 776 3094,info@graciebarrasharjah.com; gbdubainadalhamar@gmail.com; info@bjjdubai.com,https://www.graciebarrauae.com/,5.0,4,google_maps,2026-03-12T13:01:03.508967+00:00
Jiu-Jitsu hall,BJJ,8HWJ+62C - Unnamed Road - Zayed City - MZ44 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 52 964 2333,,,4.2,25,google_maps,2026-03-12T13:01:30.753851+00:00
Jump Sports Academies,"Karate, Taekwondo",Al Mabrouk St - Khalifa City - SW17 01 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97124494621,,http://www.jumpsports.ae/,4.4,75,google_maps,2026-03-13T01:09:54.364346+00:00
KAF Jiu Jitsu,"BJJ, MMA, Kickboxing, Karate, Judo, Taekwondo, Martial Arts",Yas Drag Racing Circuit - Yas Marina Circuit - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97126756916,,,4.9,45,google_maps,2026-03-12T13:00:49.092740+00:00
KYOKUSHIN KARATE AND FITNESS CENTER - BRANCH ALNAHYAN,"Kickboxing, Boxing, Karate, Taekwondo, Martial Arts",15 Ahl Al ʹAzm St - Al Nahyan - E25 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 58 864 3478,info@baroudysportsclub.com,http://baroudysportsclub.com/,5.0,10,google_maps,2026-03-12T21:13:49.881805+00:00
Kane's Boxing Academy - Al Raha Mall Branch,"Boxing, Taekwondo, Martial Arts","Highway - Road - ABU DHABI-DUBAI ROUTE AL RAHA AREA 4048, Channel Street, Dubai - Abu Dhabi - United Arab Emirates",Abu Dhabi,Dubai,+971 58 550 1487,,https://www.kanesboxingacademy.com/,5.0,16,google_maps,2026-03-12T22:37:39.847785+00:00
Khabib Gym,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Wrestling, Karate, Taekwondo, Martial Arts",FHRH+PFQ - Yas Island - YS3 03 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97125630100,,http://www.khabibgym.ae/,4.6,335,google_maps,2026-03-12T13:01:35.652820+00:00
Khulood Club,"BJJ, MMA, Muay Thai, Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts",F9M6+VR7 - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97126329979,,,4.2,,google_maps,2026-03-12T13:01:05.117222+00:00
Kick Start Karate Centre,"Kickboxing, Boxing, Karate, Taekwondo, Martial Arts",Al Hiseel St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 278 7059,lifes.karate@gmail.com; pvramsad@gmail.com,https://www.kickstartkaratecentre.com/,5.0,86,google_maps,2026-03-12T21:12:18.725676+00:00
Kick Start Karate Centre - Al Nahyan campus,"Kickboxing, Boxing, Karate, Judo, Taekwondo, Martial Arts",Muroor Rd - behind labelle chocolate - Al Nahyan - E19 02 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 50 278 7059,lifes.karate@gmail.com; pvramsad@gmail.com,https://www.kickstartkaratecentre.com/,5.0,82,google_maps,2026-03-12T21:13:12.089047+00:00
Kingdom Academy,Taekwondo,650a Al Majd St - Al Rawdah - W54 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+97126661178,,https://www.kdauae.com/,4.9,24,google_maps,2026-03-13T04:04:50.090390+00:00
Kyokushin Karate & Fitness Center,"Kickboxing, Boxing, Karate, Taekwondo, Martial Arts",Mall - شارع القناة - Al Rahah - RBW13 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 58 864 3478,,,5.0,17,google_maps,2026-03-12T21:13:35.707456+00:00
Kyokushin Karate Nalin's Dojo UAE,"Karate, Taekwondo, Martial Arts","floor,Hamdan Center - Office 110B , 1 st - Hamdan Bin Mohammed St - Abu Dhabi - United Arab Emirates",Abu Dhabi,Abu Dhabi,+971 54 431 6501,example@mysite.com,http://www.nalindojokyokushin.ae/,5.0,22,google_maps,2026-03-13T01:05:23.004907+00:00
Las Vegas Gym - Al Zahiyah - Abu Dhabi,"Kickboxing, Boxing",al zahiya - شارع الفردوس - Al Zahiyah - E15 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 56 486 8428,,http://lasvegasgym.net/,4.4,48,google_maps,2026-03-12T21:13:20.275300+00:00
Leen Fitness Club (GYM) - Al Mariah Mall,"Kickboxing, Boxing",Leen Fitness Club - Najda Street - Al Danah - Floor 4 - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 54 577 5001,,https://www.bodyabs.ae/,4.5,74,google_maps,2026-03-12T21:12:50.181420+00:00
Life Style karate Centre,"Karate, Taekwondo, Martial Arts",73 شارع - الدراج - Abu Dhabi - United Arab Emirates,Abu Dhabi,Abu Dhabi,+971 56 772 4240,,,4.6,18,google_maps,2026-03-13T01:07:51.627970+00:00
